"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId","concurrency"
"2025-11-10 07:01:40",1762758100915,"mpz-beta.vercel.app/api/videos","GET","",-1,"n6v84-1762758070784-fa5cfa41b41b","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","error","production","main","","lambda","/api/index","mpz-beta.vercel.app","mpz-beta.vercel.app","dpl_mH9ueD4dc9Qsbx1cniKYxb5QnL9u",-1,"iad1",-1,-1,"Vercel Runtime Timeout Error: Task timed out after 30 seconds","prj_gtVSgZ6XsYPB8EGETR5StVruReAP","","","01K9P92M0GPRM7SMFAGFX8K6FC","",-1
"2025-11-10 07:01:36",1762758096935,"mpz-beta.vercel.app/api/videos","GET","",-1,"wwpnq-1762758096795-385c601a5b89","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","main","","lambda","/api/index","mpz-beta.vercel.app","mpz-beta.vercel.app","dpl_mH9ueD4dc9Qsbx1cniKYxb5QnL9u",-1,"iad1",-1,-1,"{""level"":40,""timestamp"":""2025-11-10T07:01:36.935Z"",""env"":""production"",""request"":{""id"":2,""method"":""GET"",""url"":""/"",""params"":{},""query"":{},""headers"":{""host"":""mpz-beta.vercel.app"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""}},""response"":{""statusCode"":404,""headers"":{}},""responseTimeMs"":2,""msg"":""GET / 404""}","prj_gtVSgZ6XsYPB8EGETR5StVruReAP","","","01K9P93JK3AM3AC3EG072W7S91","",-1
"2025-11-10 07:01:36",1762758096935,"mpz-beta.vercel.app/api/videos","GET","",-1,"wwpnq-1762758096795-385c601a5b89","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","main","","lambda","/api/index","mpz-beta.vercel.app","mpz-beta.vercel.app","dpl_mH9ueD4dc9Qsbx1cniKYxb5QnL9u",-1,"iad1",-1,-1,"{""level"":40,""timestamp"":""2025-11-10T07:01:36.934Z"",""env"":""production"",""request"":{""id"":2,""method"":""GET"",""url"":""/"",""params"":{},""query"":{},""headers"":{""host"":""mpz-beta.vercel.app"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""}},""response"":{""statusCode"":404,""headers"":{}},""responseTimeMs"":1,""msg"":""GET / 404""}","prj_gtVSgZ6XsYPB8EGETR5StVruReAP","","","01K9P93JK3AM3AC3EG072W7S91","",-1
"2025-11-10 07:01:29",1762758089184,"mpz-beta.vercel.app/api/realtime","GET","",-1,"bphlc-1762758085084-b276cc4310c8","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","error","production","main","","lambda","/api/index","mpz-beta.vercel.app","mpz-beta.vercel.app","dpl_mH9ueD4dc9Qsbx1cniKYxb5QnL9u",-1,"iad1",-1,-1,"[persistLog] Failed to persist log to database: Error: DATABASE_URL must be set. Please add your Supabase DATABASE_URL to environment variables.
    at initializeDb (/var/task/dist/serverless/serverless.cjs:2230:11)
    at Object.get (/var/task/dist/serverless/serverless.cjs:2260:25)
    at persistLog (/var/task/dist/serverless/serverless.cjs:2485:14)
    at Object.error (/var/task/dist/serverless/serverless.cjs:2516:11)
    at createBackup (/var/task/dist/serverless/serverless.cjs:3570:15)","prj_gtVSgZ6XsYPB8EGETR5StVruReAP","","","01K9P93JK3AM3AC3EG072W7S91","",-1
"2025-11-10 07:01:29",1762758089183,"mpz-beta.vercel.app/api/realtime","GET","",-1,"bphlc-1762758085084-b276cc4310c8","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","main","","lambda","/api/index","mpz-beta.vercel.app","mpz-beta.vercel.app","dpl_mH9ueD4dc9Qsbx1cniKYxb5QnL9u",-1,"iad1",-1,-1,"{""level"":50,""timestamp"":""2025-11-10T07:01:29.183Z"",""env"":""production"",""error"":""[object Object]"",""msg"":""Scheduled backup failed""}","prj_gtVSgZ6XsYPB8EGETR5StVruReAP","","","01K9P93JK3AM3AC3EG072W7S91","",-1
"2025-11-10 07:01:29",1762758089183,"mpz-beta.vercel.app/api/realtime","GET","",-1,"bphlc-1762758085084-b276cc4310c8","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","main","","lambda","/api/index","mpz-beta.vercel.app","mpz-beta.vercel.app","dpl_mH9ueD4dc9Qsbx1cniKYxb5QnL9u",-1,"iad1",-1,-1,"{""level"":30,""timestamp"":""2025-11-10T07:01:29.182Z"",""env"":""production"",""timestamp"":""2025-11-10T07:01:29.182Z"",""msg"":""Starting scheduled backup""}","prj_gtVSgZ6XsYPB8EGETR5StVruReAP","","","01K9P93JK3AM3AC3EG072W7S91","",-1
"2025-11-10 07:01:29",1762758089182,"mpz-beta.vercel.app/api/realtime","GET","",-1,"bphlc-1762758085084-b276cc4310c8","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","main","","lambda","/api/index","mpz-beta.vercel.app","mpz-beta.vercel.app","dpl_mH9ueD4dc9Qsbx1cniKYxb5QnL9u",-1,"iad1",-1,-1,"{""level"":30,""timestamp"":""2025-11-10T07:01:29.181Z"",""env"":""production"",""intervalHours"":24,""retentionDays"":7,""backupDir"":""./backups"",""msg"":""Starting scheduled backup service""}","prj_gtVSgZ6XsYPB8EGETR5StVruReAP","","","01K9P93JK3AM3AC3EG072W7S91","",-1
"2025-11-10 07:01:28",1762758088598,"mpz-beta.vercel.app/api/realtime","GET","",-1,"bphlc-1762758085084-b276cc4310c8","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","main","","lambda","/api/index","mpz-beta.vercel.app","mpz-beta.vercel.app","dpl_mH9ueD4dc9Qsbx1cniKYxb5QnL9u",-1,"iad1",-1,-1,"✅ Background refresh: Completed in 1416ms (1704 videos)","prj_gtVSgZ6XsYPB8EGETR5StVruReAP","","","01K9P93JK3AM3AC3EG072W7S91","",-1
"2025-11-10 07:01:28",1762758088598,"mpz-beta.vercel.app/api/realtime","GET","",-1,"bphlc-1762758085084-b276cc4310c8","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","warning","production","main","","lambda","/api/index","mpz-beta.vercel.app","mpz-beta.vercel.app","dpl_mH9ueD4dc9Qsbx1cniKYxb5QnL9u",-1,"iad1",-1,-1,"Set UPSTASH_REDIS_REST_URL and UPSTASH_REDIS_REST_TOKEN to enable persistent caching.","prj_gtVSgZ6XsYPB8EGETR5StVruReAP","","","01K9P93JK3AM3AC3EG072W7S91","",-1
"2025-11-10 07:01:28",1762758088598,"mpz-beta.vercel.app/api/realtime","GET","",-1,"bphlc-1762758085084-b276cc4310c8","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","warning","production","main","","lambda","/api/index","mpz-beta.vercel.app","mpz-beta.vercel.app","dpl_mH9ueD4dc9Qsbx1cniKYxb5QnL9u",-1,"iad1",-1,-1,"⚠️  Upstash Redis not configured. Using in-memory cache only.","prj_gtVSgZ6XsYPB8EGETR5StVruReAP","","","01K9P93JK3AM3AC3EG072W7S91","",-1
